generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,178146.94653587232,46592.742912894,104597.60146920307,-11412.115643415069
2,222926.32441013565,71440.52234657625,147580.3586684286,-4699.313975276091
3,222926.32441013565,66997.24441515609,189656.42415562348,-55661.93532531131
4,222926.32441013565,44947.74035394751,208993.30113735038,-119097.82042945537
5,222926.32441013565,62762.47099735533,210997.28376544453,-85472.34177073388
6,222926.32441013565,80282.14892451323,159870.4251121026,693.8727369238622
7,222926.32441013565,66875.47207197695,188703.44956922435,-54952.50542527044
8,222926.32441013565,63286.48644086254,196283.27555495367,-69710.3026732286
9,222926.32441013565,54508.91329567505,163147.72453668926,-54129.89794533916
10,222926.32441013565,39186.20946113324,178144.6023284191,-99772.1834061526
11,222926.32441013565,57385.29635364468,187753.7146934619,-72983.12198617253
12,224745.4326464128,55010.46387978854,189405.54791053425,-79384.62015095715
13,226787.57179806143,66449.26350436661,192420.00957830396,-59521.482569570755
14,226787.57179806143,60279.72675935463,190262.71515291155,-69703.26163420231
15,226787.57179806143,74484.9296864863,194919.52220121835,-45949.66282824574
16,226787.57179806143,74573.39919454395,178221.28775044903,-29074.48936136112
17,226787.57179806143,67224.84154124827,197934.2280121513,-63484.544929654745
18,226787.57179806143,67086.54960316853,199593.89264902376,-65420.7934426867
19,226787.57179806143,68223.59839707357,207868.4373349151,-71421.24054076796
20,226787.57179806143,68099.79466586115,198906.3008471392,-62706.71151541693
21,226787.57179806143,49018.91815120895,217508.20498444664,-119470.36868202873
22,240252.2998714093,63107.699652381045,231179.56457879624,-104964.16527403417
23,240252.2998714093,69875.68879410277,221127.496388035,-81376.11879982949
24,240252.2998714093,73981.89683360832,209109.79268763942,-61145.999020422765
25,240252.2998714093,78690.34811494127,214640.37555226978,-57259.67932238724
26,244021.79023689547,66491.10959128661,221039.53585354867,-88057.31667097546
27,244021.79023689547,75034.31805918415,219832.96501218076,-69764.32889381246
28,244021.79023689547,62522.893015736154,225707.0585579588,-100661.27252648649
29,244021.79023689547,71133.64335079971,228634.0988166339,-86366.81211503447
30,244021.79023689547,79321.32218075002,217264.6036277109,-58621.95926621085
31,244021.79023689547,69988.88086118562,219192.0747889029,-79214.31306653163
32,244021.79023689547,86632.5213342605,200973.3737826068,-27708.3311140858
33,244021.79023689547,82319.85846687331,210568.74413040388,-45929.02719665726
34,244021.79023689547,91448.46075864208,212537.83700480653,-29640.915487522376
35,324376.0736507281,78746.42656408239,192105.5896406796,-34612.736512514806
36,324376.0736507281,90197.08658793946,205300.44289679267,-24906.26972091377
37,324376.0736507281,88332.633560554,233225.3202500702,-56560.053128962216
38,324376.0736507281,83950.78017637243,211851.0043975527,-43949.44404480784
39,324376.0736507281,77266.80617341306,205883.07926808987,-51349.46692126375
40,324376.0736507281,80512.21047495145,221499.69906077645,-60475.278110873536
41,324376.0736507281,74051.03071711943,178610.72539009678,-30508.66395585792
42,324376.0736507281,79651.92180232742,195247.80665879176,-35943.963054136926
43,324376.0736507281,78300.48042368307,191355.5152276734,-34754.554380307265
44,324376.0736507281,73960.76248333207,162504.51872081286,-14582.99375414873
45,324376.0736507281,84021.59730621116,169837.70980682713,-1794.5151944048266
46,345832.87368046335,92565.97744275417,231036.00083897688,-45904.045953468536
47,345832.87368046335,86429.86889644219,208110.95100302616,-35251.21321014177
48,345832.87368046335,88379.3236199865,177491.47419168166,-732.8269517086592
49,345832.87368046335,87421.96837327274,186536.4141580636,-11692.477411518106
50,345832.87368046335,85119.93707577538,184787.09752973725,-14547.223378186492
51,345832.87368046335,89135.48349182798,178990.4481287669,-719.4811451109272
52,345832.87368046335,90613.46660882745,223468.22593652236,-42241.29271886744
53,345832.87368046335,84823.32531355851,195122.5496935897,-25475.899066472688
54,400351.2414812191,85969.32136885362,198781.20348440355,-26842.560746696312
55,400351.2414812191,83250.97851025836,219288.11615936272,-52786.15913884602
56,400351.2414812191,100368.01764619834,210803.57012987923,-10067.534837482555
57,400351.2414812191,86217.27618552634,205621.43483622803,-33186.88246517535
58,400351.2414812191,60862.511534200195,231200.29881287544,-109475.27574447505
59,400351.2414812191,70728.30677589601,218729.71712330583,-77273.10357151383
60,400351.2414812191,83986.77041197091,197289.23324580988,-29315.692421868065
61,400351.2414812191,74143.93069747933,229778.0847953877,-81490.22340042905
62,400351.2414812191,69798.98354187097,216970.40465141513,-77372.4375676732
63,400351.2414812191,64535.417833939646,242692.29417673097,-113621.45850885169
64,400351.2414812191,89158.28079869528,228586.0584552791,-50269.49685788853
65,400351.2414812191,86439.53449859883,214405.65321698197,-41526.58421978429
66,400351.2414812191,89981.49875801864,237863.36612443597,-57900.36860839867
67,479884.4079880308,94747.0345849598,206696.39407176024,-17202.324901840664
68,479884.4079880308,94932.74456395686,211198.4466755219,-21332.957547608166
69,479884.4079880308,87373.81855871872,251201.95549100166,-76454.31837356422
70,479884.4079880308,95178.34202262961,212187.19325668653,-21830.5092114273
71,479884.4079880308,88894.19993194086,223327.07802018727,-45538.67815630553
72,479884.4079880308,72916.63743959335,232977.5372862992,-87144.26240711249
73,479884.4079880308,84981.11600992487,250774.33357991034,-80812.10156006059
74,479884.4079880308,114582.44242265265,236662.413789138,-7497.528943832702
75,479884.4079880308,101984.27430419828,261203.42556595578,-57234.87695755923
76,479884.4079880308,103824.2609815597,219918.25704525906,-12269.735082139654
77,479884.4079880308,91836.82260924402,230189.74420503882,-46516.0989865508
78,479884.4079880308,94900.92530137181,218767.11666629283,-28965.266063549192
79,479884.4079880308,101060.97616026663,211783.24187662159,-9661.289556088333
80,479884.4079880308,99021.00583617324,228163.5105219393,-30121.498849592812
81,479884.4079880308,86935.35246544413,252126.75962166805,-78256.0546907798
82,479884.4079880308,83312.16041450982,235773.1760530054,-69148.85522398574
83,479884.4079880308,71635.2860487092,222564.92738615535,-79294.35528873697
84,479884.4079880308,80592.97013023074,212046.70793512504,-50860.76767466357
85,479884.4079880308,71142.03494918859,222645.8356761246,-80361.76577774744
86,479884.4079880308,84587.1402050643,206367.4316978709,-37193.15128774231
87,479884.4079880308,77673.496086019,259542.1202095365,-104195.12803749848
88,479884.4079880308,100402.64231385152,211247.46681209566,-10442.18218439263
89,479884.4079880308,96212.17211059897,243869.61016561705,-51445.26594441911
90,479884.4079880308,106260.82093793356,224762.77994654153,-12241.138070674395
91,479884.4079880308,107545.90797457489,213943.49273283815,1148.323216311619
92,479884.4079880308,107405.49647679942,244622.11865563598,-29811.125702037127
93,479884.4079880308,98217.39928959234,214799.41484567325,-18364.616266488563
94,479884.4079880308,95225.85406679256,265967.17148037814,-75515.463346793
95,479884.4079880308,89044.69120967566,262680.56549537927,-84591.18307602798
96,479884.4079880308,75416.54831527753,270355.67622935225,-119522.57959879717
97,479884.4079880308,79161.45940331274,260062.2528708816,-101739.33406425614
98,479884.4079880308,55478.137961131004,312559.63669621776,-201603.36077395576
99,479884.4079880308,68924.25512441077,239111.6985840327,-101263.18833521118
100,479884.4079880308,63573.893682812646,214233.7277135164,-87085.94034789108
101,479884.4079880308,68524.61560877123,210136.08416021243,-73086.85294266995
102,479884.4079880308,63775.08030909432,235175.73066861107,-107625.57005042244
103,479884.4079880308,70582.75284581396,238009.05214682565,-96843.54645519773
104,479884.4079880308,69873.26090224876,220310.0626772218,-80563.54087272429
105,479884.4079880308,81809.42082457166,232376.35354381707,-68757.51189467375
106,479884.4079880308,89305.98236851975,233480.8470099721,-54868.88227293258
107,479884.4079880308,85154.85852002556,185980.20423573878,-15670.487195687674
108,479884.4079880308,98094.34536147241,207793.53412151377,-11604.843398568963
109,479884.4079880308,87601.01938856758,229388.1360073497,-54186.097230214524
110,479884.4079880308,89691.72601228011,263685.4638132431,-84302.01178868288
111,479884.4079880308,103894.85589983837,240391.64824021963,-32601.936440542908
112,479884.4079880308,98523.36293610015,234426.5690136237,-37379.84314142338
113,479884.4079880308,85930.67378995725,260003.44382690734,-88142.09624699285
114,479884.4079880308,95039.08514617433,260950.9476411143,-70872.77734876564
115,479884.4079880308,93733.23495644242,256208.1521884338,-68741.68227554897
116,479884.4079880308,91696.88744578062,294911.7390594251,-111517.96416786383
117,479884.4079880308,102660.95690977313,266322.132332205,-61000.21851265877
118,479884.4079880308,108679.138998581,238394.02666022268,-21035.748663060673
119,479884.4079880308,100699.36845243684,240814.8118930622,-39416.07498818851
120,479884.4079880308,80958.35129846897,296309.33367801213,-134392.63108107419
121,479884.4079880308,92651.8402946834,228391.16160773626,-43087.48101836948
122,479884.4079880308,97524.48291630924,236943.58671989013,-41894.62088727165
123,479884.4079880308,83205.35528831142,264215.1099776219,-97804.39940099903
124,479884.4079880308,99993.99885283176,238114.18507179187,-38126.18736612833
125,479884.4079880308,109510.84211491798,205905.8853096889,13115.798920147063
126,479884.4079880308,114511.06191268664,225034.83776474718,3987.2860606260947
127,479884.4079880308,80549.3573812833,240223.69116921016,-79124.97640664355
128,479884.4079880308,87583.96414505338,246510.2588959364,-71342.33060582963
129,479884.4079880308,74254.63195895916,228243.6138038436,-79734.34988592527
