generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,209588.670494798,42611.754900993474,100796.24702834802,-15572.737226361074
2,209588.670494798,50213.107123476715,156743.26293742526,-56317.04869047183
3,215656.7956688821,68406.37618869459,152885.41968901336,-16072.667311624187
4,227476.005794247,78564.79061752892,162899.91533402872,-5770.334098970852
5,227476.005794247,56521.15079949649,184665.0699588735,-71622.76835988053
6,227476.005794247,43248.13780572526,196803.76310460683,-110307.4874931563
7,227476.005794247,46256.97223131996,181915.388158391,-89401.44369575108
8,227476.005794247,67870.1939920721,146232.92903068732,-10492.54104654309
9,227476.005794247,51788.36928679081,173707.84473678272,-70131.10616320108
10,227476.005794247,52502.41353652987,178957.900062515,-73953.07298945524
11,227476.005794247,52096.27488414435,188603.07952757715,-84410.52975928843
12,227476.005794247,59299.02470782914,162417.94357353915,-43819.89415788087
13,227476.005794247,58640.194016502035,169995.3906803073,-52715.002647303205
14,227476.005794247,57964.56832719679,182110.4061279015,-66181.26947350791
15,227476.005794247,50079.369659494216,165176.28550601826,-65017.54618702983
16,227476.005794247,42698.622899403614,187904.97425310907,-102507.72845430183
17,227476.005794247,55722.93257103548,170278.95004857445,-58833.08490650348
18,227476.005794247,55254.18634408782,161602.0453387312,-51093.67265055557
19,227476.005794247,64546.23162714693,142535.46486029,-13443.001605996134
20,227476.005794247,56285.35865024111,142316.78463909755,-29746.06733861533
21,227476.005794247,58536.775602040696,154749.6807827555,-37676.12957867411
22,227476.005794247,60716.19803888245,159593.1562417787,-38160.76016401378
23,227476.005794247,55938.76663539669,172964.82485565823,-61087.29158486484
24,227476.005794247,62235.54421959732,156915.94933608043,-32444.860896885795
25,227476.005794247,70136.83386962547,158721.70215195062,-18448.034412699708
26,227476.005794247,57175.556681213595,200110.09755859408,-85758.98419616687
27,227476.005794247,72327.39612563812,170530.20301102323,-25875.410759746985
28,227476.005794247,70311.06636998252,181029.61179592437,-40407.479055959324
29,227476.005794247,75351.59488525549,159712.24672039505,-9009.056949884078
30,227476.005794247,57438.935809845985,204021.02012110653,-89143.14850141457
31,227476.005794247,66299.48139775162,170946.65532471554,-38347.69252921232
32,227476.005794247,70116.94802174557,156158.3979203187,-15924.501876827548
33,227476.005794247,77260.26715313432,182139.8109656091,-27619.276659340452
34,227476.005794247,69242.05197423416,185440.93082669922,-46956.8268782309
35,227476.005794247,76545.04739187703,194872.9252489545,-41782.83046520046
36,227476.005794247,77599.72679954466,200341.57076091002,-45142.1171618207
37,227476.005794247,73829.87353931139,166622.07963936724,-18962.332560744442
38,227476.005794247,60256.112078170234,201751.7498297889,-81239.52567344843
39,227476.005794247,51783.352531259385,218792.70946394102,-115226.00440142225
40,227476.005794247,77295.54091922214,185419.5296623133,-30828.447823869006
41,227476.005794247,74873.04664697996,167254.3344196678,-17508.241125707893
42,227476.005794247,68376.71079846608,216518.60127301904,-79765.17967608687
43,227476.005794247,78859.98914466586,200624.91370855243,-42904.935419220696
44,227476.005794247,77627.94377332149,228986.37640087126,-73730.48885422829
45,227476.005794247,65899.43679078063,242360.50654436665,-110561.6329628054
46,227476.005794247,64991.53386395318,225963.6676410906,-95980.59991318427
47,227476.005794247,63631.811418877405,206605.37490568752,-79341.75206793273
48,227476.005794247,68369.91798048963,200956.82959642244,-64216.99363544317
49,227476.005794247,78565.93582317364,164175.35419417714,-7043.482547829844
50,227476.005794247,71352.3422026106,195802.7690095816,-53098.084604360396
51,227476.005794247,80496.79446296528,195965.577395428,-34971.988469497446
52,227476.005794247,80976.82531129381,199142.66435073718,-37189.013728149555
53,227476.005794247,83602.46270163787,178264.67450635394,-11059.749103078211
54,227476.005794247,81053.00079292544,165900.53807048942,-3794.5364846385637
55,227476.005794247,73537.16419470347,235862.01397693227,-88787.68558752532
56,227476.005794247,72399.02407463895,194559.69740965334,-49761.649260375445
57,227476.005794247,75121.17469631614,217080.2008193478,-66837.85142671551
58,227476.005794247,81675.33735416812,198600.68293416893,-35250.00822583269
59,227476.005794247,81750.18653709175,234326.22052396403,-70825.84744978054
60,227476.005794247,96856.82671567729,228118.1361397684,-34404.48270841384
61,227476.005794247,98541.06016395004,215541.85527463697,-18459.73494673689
62,227476.005794247,102752.45325412686,216909.1198801099,-11404.213371856196
63,227476.005794247,92882.4699610724,260932.1069950493,-75167.1670729045
64,227476.005794247,76654.9601383081,251162.4481789631,-97852.52790234688
65,227476.005794247,95683.50411165925,219196.68697213486,-27829.678748816368
66,227476.005794247,72690.23577704889,291712.6435793039,-146332.17202520615
67,227476.005794247,90921.07643508365,250166.41308856482,-68324.2602183975
68,227476.005794247,84482.58814791973,213059.09236043802,-44093.91606459857
69,227476.005794247,80393.03744649963,234925.13225833626,-74139.05736533701
70,227476.005794247,88589.98442951015,238376.39421476505,-61196.42535574474
71,227476.005794247,70379.71330749276,275720.31387606653,-134960.88726108102
72,227476.005794247,85350.95365857334,255927.66342088178,-85225.75610373511
73,227476.005794247,95692.49464090395,257817.4980464799,-66432.50876467198
74,227476.005794247,104892.52261191468,251793.10353386414,-42008.05831003476
75,227476.005794247,71499.82214499947,298171.3031208605,-155171.6588308615
76,227476.005794247,89432.50260121484,270565.90148386045,-91700.89628143075
77,227476.005794247,102601.34771852757,235664.4521538224,-30461.756716767268
78,227476.005794247,108941.48453346538,207248.42522847216,10634.543838458601
79,227476.005794247,88882.68725850327,236040.6655453582,-58275.291028351654
80,227476.005794247,105230.64543665778,268606.3685710762,-58145.077697760644
81,227476.005794247,105831.18326108142,221928.97385122353,-10266.607329060687
82,227476.005794247,104271.42615734287,230276.1918918964,-21733.33957721066
83,227476.005794247,105861.07422784939,240364.59499080968,-28642.446535110925
84,227476.005794247,88021.42200101163,216899.24477300345,-40856.400770980195
85,227476.005794247,81260.15023188402,250001.10248953098,-87480.80202576293
86,227476.005794247,84875.44002330226,227161.5455108289,-57410.66546422437
87,227476.005794247,91937.7222972244,207240.42006285727,-23364.975468408462
88,227476.005794247,91716.7199839046,250642.5107230535,-67209.07075524432
89,227476.005794247,94708.6888052976,214629.384164695,-25212.006554099804
90,227476.005794247,83084.93184752339,234599.26862280938,-68429.40492776259
91,227476.005794247,80087.05760251428,186421.55277634374,-26247.437571315182
92,227476.005794247,101848.78593518576,220574.4500318772,-16876.87816150568
93,227476.005794247,94649.32572721998,193790.87960086827,-4492.2281464283005
94,227476.005794247,87052.39671191074,229431.21903163817,-55326.42560781671
95,227476.005794247,82299.61112330003,233159.7260131723,-68560.50376657223
96,227476.005794247,105391.06059954768,194181.88808676254,16600.23311233282
97,227476.005794247,105564.5801552555,204575.20241645008,6553.95789406095
98,227476.005794247,108019.60489844048,210441.50736449304,5597.702432387916
99,227476.005794247,99360.86880152496,232433.14683480468,-33711.40923175473
100,227476.005794247,92119.16361834995,244190.03344331996,-59951.706206620074
101,227476.005794247,97460.37949157928,257690.6110358447,-62769.852052686125
102,227476.005794247,106775.72023155852,247866.09705387257,-34314.656590755534
103,227476.005794247,111704.01747886525,246930.21392651112,-23522.178968780616
104,227476.005794247,79807.57263156866,306363.25925380574,-146748.11399066844
105,227476.005794247,106502.16426207694,223336.81537393297,-10332.486849779089
106,227476.005794247,105693.9391576889,234520.13817511036,-23132.259859732556
107,227476.005794247,104094.6529480641,244137.7000114036,-35948.39411527537
108,227476.005794247,95518.42029516911,226280.3840718068,-35243.54348146859
