generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,220553.3656222516,45764.096480351924,105739.00619047943,-14210.81322977558
2,228652.20970948806,41152.84696803407,195187.503165948,-112881.80922987984
3,228652.20970948806,39201.722072557524,170436.8476538688,-92033.40350875378
4,228652.20970948806,45294.88500792276,194215.44113184328,-103625.67111599774
5,228652.20970948806,45510.54569567396,182659.3828939928,-91638.29150264486
6,228652.20970948806,39905.85125488887,212432.37036700724,-132620.6678572295
7,228652.20970948806,53616.30299418629,193169.51327814083,-85936.90728976825
8,228652.20970948806,47045.27238032239,202232.43358599624,-108141.88882535146
9,228652.20970948806,70141.58622112867,154857.0426745094,-14573.870232252055
10,228652.20970948806,65499.27546946859,228496.3823466329,-97497.83140769572
11,228652.20970948806,56822.29739425404,226500.59567068706,-112856.00088217898
12,228652.20970948806,47403.35396093929,224024.72276614053,-129218.01484426197
13,231999.4752386038,44348.908763104046,197941.00557818823,-109243.18805198012
14,231999.4752386038,44168.79178246755,239808.83845754009,-151471.25489260495
15,231999.4752386038,56797.38919864807,241712.3284156419,-128117.55001834576
16,231999.4752386038,79183.31585014281,200827.62875864387,-42460.99705835823
17,231999.4752386038,54946.81278544021,210379.53932403855,-100485.91375315812
18,231999.4752386038,50550.073796871206,225837.4944738604,-124737.34688011798
19,231999.4752386038,60040.479888633214,211954.3704549321,-91873.41067766567
20,231999.4752386038,67908.11690709721,195919.6554175857,-60103.42160339127
21,234658.3152065584,51418.89424512796,221039.6481006926,-118201.85961043667
22,234658.3152065584,65635.23713939893,217176.97751055,-85906.50323175214
23,234658.3152065584,62873.49129890784,222011.03764320922,-96264.05504539353
24,234658.3152065584,71516.19373373158,217063.6959600987,-74031.30849263555
25,550126.489977498,67334.21243277237,223880.1181370105,-89211.69327146576
26,550126.489977498,65825.85907045077,221792.3339569442,-90140.61581604267
27,550126.489977498,54003.13435760096,232167.08799769287,-124160.81928249093
28,550126.489977498,46987.85727761417,214966.2728528281,-120990.55829759977
29,550126.489977498,64229.60019146006,184534.506530714,-56075.30614779388
30,550126.489977498,67414.36114557036,166973.3720052398,-32144.64971409907
31,550126.489977498,50799.89727177421,207972.77293160357,-106372.97838805514
32,550126.489977498,62310.25158782823,208645.59861690458,-84025.09544124811
33,550126.489977498,60606.33414209849,180247.48455772008,-59034.816273523094
34,550126.489977498,47580.0710356449,209220.59737561672,-114060.45530432691
35,550126.489977498,68157.52949926387,209840.15823062562,-73525.09923209787
36,550126.489977498,73621.31977117769,233432.37802911186,-86189.73848675648
37,550126.489977498,78373.47770307759,220865.61699537863,-64118.66158922344
38,550126.489977498,78326.42000399095,209278.7974388212,-52625.957430839306
39,550126.489977498,67886.46225848094,249522.19434725307,-113749.2698302912
40,550126.489977498,69464.71054067381,222553.23088583717,-83623.80980448955
41,550126.489977498,63917.73844486581,255361.14928807912,-127525.67239834748
42,550126.489977498,50518.893108070195,245058.24936452808,-144020.4631483877
43,550126.489977498,70881.79999502425,259213.74783895724,-117450.14784890873
44,550126.489977498,63803.15720831013,223948.02710611335,-96341.71268949311
45,550126.489977498,65404.250047302725,237309.50430652138,-106501.00421191595
46,550126.489977498,76508.91972223809,205209.8010816868,-52191.96163721064
47,550126.489977498,78852.52455690938,212239.90024996008,-54534.8511361413
48,550126.489977498,76055.56338521633,222078.11510858499,-69966.98833815231
49,550126.489977498,69703.30258170376,212510.1396163837,-73103.5344529762
50,550126.489977498,75377.00214759173,218263.7964683875,-67509.79217320404
51,550126.489977498,66682.6950234556,202767.99557499125,-69402.60552808005
52,550126.489977498,71602.70100071852,184379.88101147106,-41174.47901003403
53,550126.489977498,71269.34676223394,184685.36837376378,-42146.6748492959
54,550126.489977498,70739.43796444463,190333.1824971928,-48854.30656830355
55,550126.489977498,63191.372351083686,192745.63101346433,-66362.88631129696
56,550126.489977498,59965.87150728429,187486.69523816253,-67554.95222359395
57,550126.489977498,69966.23325254148,178740.5203215158,-38808.053816432846
58,550126.489977498,63122.26137888609,217434.7221555251,-91190.1993977529
59,550126.489977498,78177.51342028071,212447.14536199463,-56092.11852143321
60,550126.489977498,63330.64024118112,223173.00379175277,-96511.72330939051
61,550126.489977498,76088.6485609585,200891.63766925762,-48714.3405473406
62,550126.489977498,55498.060753989404,241387.02860443282,-130390.907096454
63,550126.489977498,77339.63169955493,201032.89769947942,-46353.634300369566
64,550126.489977498,86125.47812546964,200660.50853066804,-28409.55227972877
65,550126.489977498,77566.06129930577,232033.60309346364,-76901.4804948521
66,550126.489977498,78079.94828993398,238199.4313552286,-82039.53477536062
67,550126.489977498,99638.29818394942,214379.5537145593,-15102.957346660463
68,550126.489977498,96809.19430976603,250300.7679443487,-56682.37932481666
69,550126.489977498,82849.15501621483,237946.35542640515,-72248.04539397547
70,550126.489977498,97632.86746983405,244693.21915091967,-49427.484211251576
71,550126.489977498,104136.23498653458,200766.15012309773,7506.31984997142
72,550126.489977498,99771.57967635938,247068.22266559734,-47525.063312878556
73,550126.489977498,107283.94875915609,208050.63325985876,6517.264258453419
74,550126.489977498,81817.43868223169,281166.87596529745,-117531.99860083406
75,550126.489977498,87435.50738666944,239873.61274194124,-65002.597968602364
76,550126.489977498,96212.01732752509,220501.12152481443,-28077.086869764258
77,550126.489977498,72498.01053101606,268655.3257945069,-123659.30473247477
78,550126.489977498,92727.67031949993,242270.18326664215,-56814.84262764228
79,550126.489977498,95003.93328264437,210018.5591051149,-20010.692539826166
80,550126.489977498,96908.90588336019,235917.17392960336,-42099.362162882986
81,550126.489977498,90033.79417018335,235777.06235489313,-55709.47401452645
82,550126.489977498,91338.62084472865,233462.36753911705,-50785.12584965977
83,550126.489977498,89316.99124878198,244943.42592806643,-66309.44343050248
84,550126.489977498,104183.98555687015,249530.97696528587,-41163.005851545575
85,550126.489977498,81642.10316285548,254293.82627561962,-91009.61994990868
86,550126.489977498,102122.42100456121,215264.42530629682,-11019.583297174395
87,550126.489977498,107973.49125005033,204254.38682038136,11692.595679719292
88,550126.489977498,96083.48793083514,221634.68402010782,-29467.70815843754
89,550126.489977498,85367.96338132129,251149.34581875565,-80413.41905611308
90,550126.489977498,97303.82561312141,226632.83245003282,-32025.181223789972
91,550126.489977498,108435.42606307098,221543.9058868239,-4673.053760681942
92,550126.489977498,98493.74067041287,231241.70677722283,-34254.2254363971
93,550126.489977498,105249.15625615501,219629.37702793407,-9131.06451562405
94,550126.489977498,104544.70870466933,213790.64516969264,-4701.227760353984
95,550126.489977498,88769.71519628892,276202.4511881529,-98663.02079557505
96,550126.489977498,93902.05803949905,234169.1559222247,-46365.039843226565
97,550126.489977498,113845.68237866105,219710.46371276033,7980.9010445617605
98,550126.489977498,107008.20439894841,232387.77748923976,-18371.368691342926
99,550126.489977498,108702.86690290442,222146.53301941586,-4740.79921360701
100,550126.489977498,99097.061580304,232272.2517379782,-34078.1285773702
101,550126.489977498,87032.65758381368,275092.6872097465,-101027.37204211915
102,550126.489977498,110905.19059251268,223501.185157446,-1690.803972420632
103,550126.489977498,93178.55148071406,235400.7674953979,-49043.66453396977
104,550126.489977498,96895.63001622929,225273.03143678495,-31481.771404326355
105,550126.489977498,90811.17363043912,222833.07004151054,-41210.72278063229
106,550126.489977498,99661.59731505201,219391.4467634416,-20068.252133337577
107,550126.489977498,95880.71510386658,258276.73272252275,-66515.30251478958
108,550126.489977498,101065.49596797254,259173.7322610778,-57042.74032513272
109,550126.489977498,84014.34578776502,275994.3261436088,-107965.63456807876
110,550126.489977498,89683.70732816678,271581.83901110565,-92214.42435477208
111,550126.489977498,91258.80505983916,276500.5966132273,-93982.98649354899
112,550126.489977498,86191.17978441913,302779.1196638134,-130396.76009497515
113,550126.489977498,106539.14728480014,246186.05341802182,-33107.75884842152
114,550126.489977498,104905.1859144473,240041.93832223542,-30231.566493340826
115,550126.489977498,93482.52597177197,259904.71072307715,-72939.6587795332
116,550126.489977498,80012.7030246073,257211.8758898433,-97186.4698406287
117,550126.489977498,94840.88422502058,220884.04705878728,-31202.278608746128
118,550126.489977498,81669.07725232268,258621.2977268173,-95283.14322217197
119,550126.489977498,90735.46420178712,304665.1579642558,-123194.22956068152
120,550126.489977498,84595.2685063195,260829.16620894216,-91638.62919630317
121,550126.489977498,96775.09361108133,238305.86965017003,-44755.68242800736
122,550126.489977498,111086.44544557911,232462.31137996365,-10289.420488805423
123,550126.489977498,91999.66185453435,255009.68361930258,-71010.35991023388
124,550126.489977498,95003.44833033101,283793.3454389556,-93786.44877829356
