generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,208344.21407753148,47693.45620937835,108857.35925551495,-13470.446836758245
2,211653.08069696327,32717.9737238407,152510.27436741703,-87074.32691973564
3,211653.08069696327,31834.451391532246,125973.03255563162,-62304.12977256713
4,211653.08069696327,32190.5576385943,160643.59944735147,-96262.48417016286
5,244867.40259828666,35075.06141013662,187698.8609421624,-117548.73812188917
6,244867.40259828666,45995.646638177735,191618.51030629128,-99627.2170299358
7,244867.40259828666,36333.32748931857,168326.29768305185,-95659.64270441471
8,244867.40259828666,48941.132552795134,194568.11843178916,-96685.85332619888
9,244867.40259828666,60823.451873002414,173227.49931010336,-51580.59556409855
10,244867.40259828666,43443.92407792317,216213.21259619365,-129325.3644403473
11,244867.40259828666,58378.94282116656,166530.1438170645,-49772.25817473139
12,244867.40259828666,46547.52359267224,186850.12146433524,-93755.07427899078
13,244867.40259828666,58968.27183388523,170921.39811731753,-52984.854449547056
14,244867.40259828666,65288.28600458192,149280.5117463948,-18703.939737230954
15,244867.40259828666,64577.79788476879,178300.01755260874,-49144.42178307114
16,244867.40259828666,71348.51475394068,175381.97296825872,-32684.94346037737
17,244867.40259828666,77583.65781089652,151085.66940683793,4081.646214955108
18,244867.40259828666,70062.5753481437,181600.79242276825,-41475.64172648087
19,244867.40259828666,61134.133069405165,225638.7175910101,-103370.45145219978
20,244867.40259828666,72252.59379136923,158596.36918815505,-14091.181605416583
21,244867.40259828666,60850.47148597374,175497.16801140312,-53796.22503945562
22,244867.40259828666,60730.71491334317,168605.41276617965,-47143.98293949332
23,244867.40259828666,51738.71382780226,192695.4457089579,-89218.0180533534
24,244867.40259828666,47901.22703613301,188836.5814731248,-93034.1274008588
25,244867.40259828666,61125.71363136006,226389.07305681644,-104137.64579409632
26,244867.40259828666,56546.86016525238,214644.26389335867,-101550.54356285391
27,244867.40259828666,57092.8472292929,182866.70125342775,-68681.00679484196
28,244867.40259828666,74471.31715629443,175479.71845625708,-26537.08414366821
29,244867.40259828666,52938.328871435006,217312.95503323828,-111436.29729036828
30,244867.40259828666,65761.11058991773,170872.87777796987,-39350.65659813439
31,244867.40259828666,83234.86184484696,158807.38020526717,7662.343484426761
32,244867.40259828666,72079.39291998904,211608.42031242777,-67449.63447244969
33,244867.40259828666,84278.99002966585,166849.77536154888,1708.2046977828286
34,244867.40259828666,64988.04693842434,224301.50436841566,-94325.41049156696
35,244867.40259828666,73342.70800059498,154821.82437671864,-8136.40837552867
36,244867.40259828666,79023.66815417833,161135.60578858713,-3088.269480230447
37,244867.40259828666,52034.648694254756,237292.3086100153,-133223.0112215058
38,244867.40259828666,55817.838993222955,240530.46510785347,-128894.78712140757
39,244867.40259828666,70579.55335993013,190787.5306019751,-49628.42388211486
40,244867.40259828666,66853.71012713648,187122.52425619302,-53415.104001920074
41,244867.40259828666,69189.43128237626,213943.79373728306,-75564.93117253055
42,244867.40259828666,76062.00347706363,231980.82356693427,-79856.81661280703
43,244867.40259828666,91300.11966220257,202082.1688738229,-19481.929549417764
44,244867.40259828666,90070.1378710947,199328.18246462214,-19187.90672243273
45,244867.40259828666,74948.93085351582,209646.75141825178,-59748.88971122015
46,244867.40259828666,78917.65132946642,212087.29628715367,-54251.99362822082
47,244867.40259828666,73182.40589251647,210550.86739638628,-64186.05561135335
48,244867.40259828666,69346.51334033323,224626.61248043075,-85933.5857997643
49,244867.40259828666,84066.46841810863,208889.06071009435,-40756.12387387706
50,244867.40259828666,89493.54056086174,200294.0723436242,-21306.991221900695
51,244867.40259828666,79487.28208129935,183385.3642042037,-24410.800041605005
52,244867.40259828666,75958.89150739039,192657.93122679988,-40740.14821201909
53,244867.40259828666,85662.53789718784,176113.7304089137,-4788.6546145380125
54,244867.40259828666,84576.64611162369,190642.85860911175,-21489.566385864382
55,244867.40259828666,71045.23692190161,232190.69354300894,-90100.21969920571
56,244867.40259828666,77316.17494936693,178894.87814685586,-24262.528248121977
57,244867.40259828666,94498.14713172728,201533.82268228565,-12537.52841883109
58,244867.40259828666,93279.98439192514,204487.955144794,-17927.9863609437
59,244867.40259828666,88064.91207180085,212427.14366106252,-36297.31951746081
60,244867.40259828666,65932.9106872597,242534.69758992974,-110668.87621541035
61,244867.40259828666,100229.37951298934,211726.10128521058,-11267.342259231897
62,244867.40259828666,104627.5582334096,193870.54467268445,15384.571794134725
63,244867.40259828666,93696.04476711078,240000.08108672986,-52607.99155250829
64,244867.40259828666,94937.89147753801,223077.73807932198,-33201.95512424597
65,244867.40259828666,91664.28593193994,229370.71947447566,-46042.147610595755
66,244867.40259828666,97904.79761228412,204275.4120643265,-8465.816839758249
67,244867.40259828666,104044.28581937027,218268.95317007846,-10180.381531337902
68,244867.40259828666,101187.39622238562,239776.29475667235,-37401.50231190112
69,244867.40259828666,102989.01435922478,223858.23725922668,-17880.20854077711
70,244867.40259828666,82563.96502337894,237460.07779800153,-72332.14775124362
71,244867.40259828666,98104.9252107386,215424.3545115249,-19214.504090047703
72,244867.40259828666,102568.45591840376,216833.37710017507,-11696.465263367529
73,244867.40259828666,95822.00946386045,193078.3133383902,-1434.2944106692885
74,244867.40259828666,82649.84246461067,221915.67514701653,-56615.99021779519
75,244867.40259828666,90047.26483486619,205423.36330092512,-25328.83363119274
76,244867.40259828666,92424.31314455277,197761.49871503803,-12912.872425932495
77,244867.40259828666,87581.41812124186,241799.4834609017,-66636.647218418
78,244867.40259828666,91495.20857848896,246183.25567853096,-63192.83852155303
79,244867.40259828666,95410.16109712962,188346.77086487485,2473.5513293843833
80,244867.40259828666,99956.1413771971,186248.86926589493,13663.413488499267
81,244867.40259828666,99560.30423151012,191912.61887689296,7207.989586127282
82,244867.40259828666,87023.71026238067,202994.49247267522,-28947.071947913893
83,244867.40259828666,81799.94851627102,202967.01165863068,-39367.114626088645
84,244867.40259828666,89991.07334760106,195011.9865011213,-15029.839805919168
85,244867.40259828666,79521.89234315045,221198.847701925,-62155.063015624095
86,244867.40259828666,81069.12705718575,208643.57584954,-46505.32173516853
87,244867.40259828666,89957.59001995217,228440.4315350225,-48525.25149511815
88,244867.40259828666,97416.12803463527,189811.71361083278,5020.5424584377615
89,244867.40259828666,99609.92888495067,223052.62462950905,-23832.766859607713
90,244867.40259828666,103812.89952041749,225112.41681272903,-17486.617771894074
91,244867.40259828666,111614.28111808117,193881.3496286789,29347.212607483438
92,244867.40259828666,118129.48379700315,201842.3888736183,34416.578720388
93,244867.40259828666,111703.42371065462,220032.07243656658,3374.7749847426603
94,244867.40259828666,97706.73599385703,241729.74691217602,-46316.27492446196
95,244867.40259828666,85178.72869872634,220300.3909484872,-49942.93355103454
96,244867.40259828666,96031.65630662008,225824.78987983527,-33761.47726659512
97,244867.40259828666,101345.20184016028,205906.78733243424,-3216.383652113669
98,244867.40259828666,110608.05761584554,211447.08353483505,9769.031696856022
99,244867.40259828666,107617.87478924655,195632.12424151174,19603.625336981335
100,244867.40259828666,101266.98679032511,217718.4872229192,-15184.513642268983
101,244867.40259828666,107073.20746760069,193454.88242039137,20691.53251481001
102,244867.40259828666,120007.16812288003,204773.3115724776,35241.02467328246
103,244867.40259828666,106849.17989625238,234800.7119167369,-21102.352124232173
104,244867.40259828666,105050.19705711464,227348.8546588965,-17248.460544667236
105,244867.40259828666,99790.29789845643,204073.49535415258,-4492.899557239711
106,244867.40259828666,104387.57411951564,196347.8662815246,12427.281957506697
107,244867.40259828666,104050.00155565293,212114.37872620742,-4014.3756149015535
108,244867.40259828666,97429.05941339755,231076.883476033,-36218.76464923787
109,244867.40259828666,95849.39747168023,201583.51228118935,-9884.717337828886
110,244867.40259828666,88941.26787695111,223699.09345657204,-45816.557702669816
111,244867.40259828666,83989.11724702781,217680.94424691758,-49702.70975286196
112,244867.40259828666,95016.96199600991,197993.38328228646,-7959.459290266634
113,244867.40259828666,88092.31132728452,224385.7973827385,-48201.174728169455
114,244867.40259828666,89462.43323054214,225894.22183894296,-46969.35537785868
115,244867.40259828666,97018.30190971117,225268.06352064945,-31231.459701227097
116,244867.40259828666,86212.18415643748,238834.83153654193,-66410.46322366696
117,244867.40259828666,83920.22722644171,173619.95792494668,-5779.503472063239
118,244867.40259828666,79119.62435561343,243746.09489348167,-85506.84618225481
119,244867.40259828666,88408.4994521581,207360.48037795894,-30543.48147364275
120,244867.40259828666,89267.0372492554,205253.4483856626,-26719.3738871518
121,244867.40259828666,91229.57502142224,217968.6042344357,-35509.45419159123
122,244867.40259828666,76090.69685281634,191078.60984273162,-38897.21613709895
123,244867.40259828666,85208.89960031286,196687.3850286308,-26269.585828005074
124,244867.40259828666,83599.88141371048,196687.35357712914,-29487.590749708164
125,244867.40259828666,84714.18663018288,199239.06529377121,-29810.69203340546
126,244867.40259828666,100978.21138103376,192345.46886164194,9610.953900425593
127,244867.40259828666,113681.14937517255,200240.27884670743,27122.019903637687
128,244867.40259828666,120558.40916652522,204089.34293252716,37027.47540052328
129,244867.40259828666,109102.08483931096,262085.60361241476,-43881.43393379284
130,244867.40259828666,115552.93888747106,210869.4107688901,20236.467006052
131,244867.40259828666,110524.36559943401,229163.5898118061,-8114.858612938086
132,244867.40259828666,95663.7826152632,229460.52704527427,-38132.96181474785
133,244867.40259828666,114282.5942541669,224078.66203480947,4486.52647352434
134,244867.40259828666,105670.6297795814,244893.65168426506,-33552.39212510227
135,244867.40259828666,106691.85254439138,252239.86722336343,-38856.16213458066
136,244867.40259828666,107970.54226360134,215530.79732012507,410.2872070776066
137,244867.40259828666,97347.67058470848,292616.03517575073,-97920.6940063338
138,244867.40259828666,108788.53304337033,237458.0938500478,-19881.027763307124
139,244867.40259828666,115165.08550995801,232592.53447072202,-2262.363450806006
140,244867.40259828666,101507.10761425822,264975.72564367857,-61961.510415162105
141,244867.40259828666,112464.05610470587,209169.35441493907,15758.757794472665
142,244867.40259828666,111597.60328427175,261856.64210842922,-38661.435539885715
143,244867.40259828666,111800.00881761855,228040.53912090848,-4440.521485671372
144,244867.40259828666,116910.44173114756,208659.42515375087,25161.45830854423
145,244867.40259828666,112956.78191133222,208259.88140248717,17653.682420177254
146,244867.40259828666,97875.69131409544,238076.63197820866,-42325.249350017795
147,244867.40259828666,109778.24077067792,220206.124996033,-649.6434546771634
148,244867.40259828666,103128.85342856337,214629.4819383871,-8371.775081260348
149,244867.40259828666,113491.89913000053,205700.84349558546,21282.954764415597
150,244867.40259828666,111260.60057508621,214628.85538353288,7892.345766639541
151,244867.40259828666,122859.81940273501,211692.56451968726,34027.07428578274
152,244867.40259828666,118256.99469801852,210879.43023569684,25634.559160340184
153,244867.40259828666,112517.84565221031,209723.46420789429,15312.227096526345
154,244867.40259828666,108037.89020381965,204322.80650890147,11752.973898737837
155,244867.40259828666,89811.64654684375,221827.07833262306,-42203.785238935554
156,244867.40259828666,96655.76949339558,206180.35915945366,-12868.820172662483
157,244867.40259828666,88290.24612345004,213490.6556570548,-36910.163410154724
158,244867.40259828666,94779.21515157736,225412.37755432675,-35853.94725117204
159,244867.40259828666,92267.53325687876,254931.904361098,-70396.83784734047
160,244867.40259828666,91595.40869050684,205870.7622779907,-22679.944896977016
161,244867.40259828666,90325.20695432829,230813.21124804972,-50162.797339393146
162,244867.40259828666,86981.06764194966,208395.53774970793,-34433.40246580861
163,244867.40259828666,67925.17149542422,256614.4228074554,-120764.07981660696
164,244867.40259828666,76795.81059716194,260849.62625640887,-107258.005062085
165,244867.40259828666,80403.69384739996,230353.1277919038,-69545.74009710387
166,244867.40259828666,95100.10375727633,198638.77511960838,-8438.567605055723
167,244867.40259828666,99854.02816386253,208154.00925602348,-8445.952928298415
168,244867.40259828666,80579.12050325968,184947.0121068237,-23788.77110030435
169,244867.40259828666,91293.11530564944,202371.2475074241,-19785.016896125235
170,244867.40259828666,96098.78674649808,189558.05408735358,2639.519405642568
171,244867.40259828666,94606.88432338594,208239.8923228497,-19026.123676077812
172,244867.40259828666,101761.22202630743,208826.58540004597,-5304.141347431127
173,244867.40259828666,83175.56407483449,258474.59729953494,-92123.46914986597
174,244867.40259828666,94603.01851388271,206639.26921764028,-17433.232189874878
175,244867.40259828666,94350.08483131161,231636.20530043088,-42936.03563780764
176,244867.40259828666,95991.2433402765,230060.9424913799,-38078.45581082688
177,244867.40259828666,113500.98461808817,205562.62121349774,21439.348022678605
178,244867.40259828666,94802.06594086181,224235.59829228892,-34631.46641056531
179,244867.40259828666,91921.01127073728,225305.39871267253,-41463.376171197975
180,244867.40259828666,102335.92409723575,237554.88610396124,-32883.037909489736
181,244867.40259828666,108134.39627855361,199859.9404805404,16408.85207656682
182,244867.40259828666,101618.58361252406,243277.58959172864,-40040.42236668052
183,244867.40259828666,92096.8129333991,248832.3410738383,-64638.71520704012
184,244867.40259828666,91231.51915015427,228688.39911768714,-46225.360817378576
185,244867.40259828666,105619.59238613336,195618.90697908943,15620.277793177287
186,244867.40259828666,96305.9810596458,250901.35026999773,-58289.38815070613
187,244867.40259828666,94602.88330746526,226309.60346274613,-37103.836847815604
188,244867.40259828666,82774.61005349987,188032.99852410564,-22483.778417105917
189,244867.40259828666,57166.51802137298,251001.96179611288,-136668.92575336696
190,244867.40259828666,69702.33559655497,198944.68375555263,-59540.0125624427
191,244867.40259828666,60006.676525904404,225285.75901422068,-105272.40596241185
192,244867.40259828666,87842.37271752646,175538.7572177514,145.98821730153577
193,244867.40259828666,85518.90109678096,190716.30462004052,-19678.50242647859
194,244867.40259828666,94444.77099632831,205310.87046416494,-16421.328471508314
195,244867.40259828666,85912.57207558776,211603.1514499315,-39778.007298756
196,244867.40259828666,81849.07863884038,239968.4138458619,-76270.25656818115
197,244867.40259828666,100383.98661270997,210291.46438621051,-9523.491160790581
198,244867.40259828666,95714.87266507516,204769.41241100442,-13339.66708085411
199,244867.40259828666,103594.95209995593,212736.29412270355,-5546.389922791699
200,244867.40259828666,101614.57795487763,197497.75237854104,5731.403531214222
201,244867.40259828666,107198.99013079189,191220.28004188137,23177.700219702398
202,244867.40259828666,106979.35939269293,211072.07225598348,2886.6465294023656
203,244867.40259828666,105822.70072273457,221030.60224226545,-9385.2007967963
204,244867.40259828666,84195.10280678447,251480.97511759316,-83090.76950402421
205,244867.40259828666,81260.94379450599,260014.03753949067,-97492.14995047869
206,244867.40259828666,101216.493918072,220345.65803117672,-17912.670195032726
207,244867.40259828666,92957.30068384208,209178.6986837386,-23264.097316054424
208,244867.40259828666,108551.48288810662,206236.62736230332,10866.338413909922
209,244867.40259828666,97096.43537982293,236682.61686024105,-42489.74610059521
210,244867.40259828666,112005.31938037692,253596.83520525743,-29586.196444503585
211,244867.40259828666,84070.93400102342,261426.7474111159,-93284.87940906908
212,244867.40259828666,84714.67058025226,218395.6572346926,-48966.316074188086
213,244867.40259828666,86942.30731048067,234213.99237686355,-60329.37775590223
214,244867.40259828666,96923.42980097998,217595.18409294722,-23748.324490987245
215,244867.40259828666,91632.66799471705,235472.71131991543,-52207.37533048133
216,244867.40259828666,110007.32748350361,210508.92481200228,9505.73015500493
217,244867.40259828666,119443.82066064398,208189.96847835384,30697.672842934116
218,244867.40259828666,104862.28937000596,215507.4444433206,-5782.865703308664
219,244867.40259828666,105898.03216535765,198445.71683280595,13350.347497909373
220,244867.40259828666,103524.96283454663,220587.36855867627,-13537.442889582991
221,244867.40259828666,103419.08259050215,260916.3339820755,-54078.168801071195
222,244867.40259828666,89241.3520594952,267198.852492698,-88716.14837370763
223,244867.40259828666,94892.72270126811,278996.89629562636,-89211.45089309015
224,244867.40259828666,98348.22048121,282468.70791065745,-85772.26694823745
225,244867.40259828666,106031.9581989248,216414.23967272858,-4350.323274879003
226,244867.40259828666,100471.08754480425,265979.63659897697,-65037.461509368484
227,244867.40259828666,107479.73236139173,234106.66142841554,-19147.196705632086
228,244867.40259828666,108412.1168808871,240047.02680262286,-23222.793040848657
229,244867.40259828666,108814.18288133279,204974.94845245074,12653.417310214834
230,252441.96171284284,106150.7852280167,227885.19409410545,-15583.623638072051
231,252441.96171284284,117294.08529283447,222840.0712506475,11748.099335021427
232,252441.96171284284,98489.00572294841,219506.34660333686,-22528.335157440044
233,252441.96171284284,103507.07685996275,217669.7206704053,-10655.566950479799
234,252441.96171284284,109121.97237090168,202111.07807268383,16132.866669119554
235,252441.96171284284,112872.11248839166,231257.80726048423,-5513.582283700904
236,252441.96171284284,95434.32782352238,224632.8289226325,-33764.173275587746
237,252441.96171284284,97717.09582098763,230749.53734816436,-35315.34570618911
238,252441.96171284284,92784.60015111709,259109.62261578458,-73540.42231355041
239,252441.96171284284,96397.014884598,224808.67938627064,-32014.649617074625
240,252441.96171284284,74259.69538775619,220231.09666608844,-71711.70589057606
241,252441.96171284284,74254.37957196558,213830.0972169002,-65321.338072969054
242,252441.96171284284,79318.3403365935,196850.9020224573,-38214.221349270316
243,252441.96171284284,95535.94665589866,198294.8568955399,-7222.963583742603
244,252441.96171284284,86608.22123011306,218758.81307672168,-45542.37061649555
245,252441.96171284284,94683.90524073748,185656.96793444612,3710.8425470288494
246,252441.96171284284,98463.27600107525,193514.1585635533,3412.3934385972098
247,252441.96171284284,96891.88432854901,217119.71213199053,-23335.943474892512
