generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,237588.43807693166,53212.06583424829,114434.5141526224,-8010.38248412581
2,246594.02089600568,48605.83195429078,168911.46018706344,-71699.79627848187
3,246594.02089600568,55001.448307144936,149886.5858022751,-39883.68918798522
4,246594.02089600568,50977.135636572275,193835.30919491505,-91881.03792177049
5,246594.02089600568,50167.50318520406,168185.51909699728,-67850.51272658916
6,246594.02089600568,75141.33124295113,183648.36005781533,-33365.69757191306
7,256299.4517320785,64402.6435171133,180413.71356438135,-51608.426530154764
8,269857.08589564444,60396.340825644445,181131.49971534312,-60338.818064054234
9,269857.08589564444,53130.937279791746,198754.9360778643,-92493.0615182808
10,269857.08589564444,51876.23328783835,188721.16694019717,-84968.70036452048
11,532319.4246945439,41396.4481121995,202910.40913690013,-120117.51291250114
12,532319.4246945439,45997.11523171048,198605.91126917073,-106611.68080574975
13,576632.38663068,47168.94131645806,207003.81076724606,-112665.92813432995
14,576632.38663068,51496.34011167111,203481.20651594922,-100488.52629260701
15,576632.38663068,70569.40725199554,213228.21858741908,-72089.40408342799
16,576632.38663068,47321.71699180061,186112.75410903472,-91469.3201254335
17,576632.38663068,62267.91696483595,215096.16433524556,-90560.33040557365
18,576632.38663068,63596.102585442684,217818.66109700385,-90626.45592611848
19,594801.6087896829,59241.84465850101,232017.5516883707,-113533.86237136868
20,594801.6087896829,60828.92992904588,231946.73619751984,-110288.8763394281
21,594801.6087896829,79256.99488464704,223178.1415993097,-64664.1518300156
22,594801.6087896829,77613.50545828896,227540.87741457077,-72313.86649799284
23,594801.6087896829,81395.18795144143,249939.47255886887,-87149.096655986
24,594801.6087896829,84570.9990465142,227183.58388511027,-58041.58579208185
25,594801.6087896829,57802.968797007095,234497.08162790968,-118891.14403389547
26,594801.6087896829,56213.06728942273,215545.47639268145,-103119.34181383598
27,594801.6087896829,57145.03119748661,217098.7881960578,-102808.72580108457
28,594801.6087896829,70257.83855842988,211106.9958617413,-70591.31874488154
29,594801.6087896829,63454.12986211421,271588.5900048349,-144680.3302806065
30,594801.6087896829,54024.502520710754,246783.1890465526,-138734.1840051311
31,594801.6087896829,78218.74020190685,234100.03310041066,-77662.55269659695
32,594801.6087896829,70817.70517279292,236419.43835456972,-94784.02800898388
33,594801.6087896829,57900.864563803,245184.34452697897,-129382.61539937295
34,594801.6087896829,58735.16795113867,245811.67824907004,-128341.34234679272
35,613362.6263370143,73347.01973492265,232212.98233745937,-85518.94286761407
36,613362.6263370143,67721.83075464873,230967.0192114783,-95523.35770218085
37,613362.6263370143,89280.20610438149,243778.22738623683,-65217.815177473836
38,613362.6263370143,72654.08281705788,224003.12908663074,-78694.96345251499
39,613362.6263370143,62720.07153185047,277115.34685556305,-151675.20379186212
40,613362.6263370143,73773.66700329489,226974.5006599367,-79427.16665334691
41,613362.6263370143,85588.8495143452,221016.985244087,-49839.2862153966
42,613362.6263370143,79838.24443558995,235926.4609879086,-76249.9721167287
43,613362.6263370143,92648.40021111794,211629.63068814678,-26332.83026591089
44,638124.6788995933,82095.92342237836,234851.10278373456,-70659.25593897786
45,638124.6788995933,75612.28980114663,224193.20115622936,-72968.6215539361
46,638124.6788995933,97205.3160996552,218807.19339919847,-24396.56119988805
47,638124.6788995933,94730.8598273514,219644.0392400989,-30182.319585396108
48,638124.6788995933,83363.15857399192,270175.96662166965,-103449.64947368579
49,638124.6788995933,84930.12475836313,217700.52936700702,-47840.27985028074
50,638124.6788995933,96287.02060344312,230173.15912029136,-37599.11791340512
51,638124.6788995933,97374.06362372167,218970.16413265688,-24222.036885213558
52,638124.6788995933,83332.70871225532,245124.3723673669,-78458.95494285625
53,638124.6788995933,90346.29202188975,232363.31259761378,-51670.72855383427
54,638124.6788995933,83478.49409299332,229551.79965360725,-62594.8114676206
55,638124.6788995933,90842.47590730661,230507.4271753037,-48822.475360690456
56,638124.6788995933,73677.09238428668,257804.95350393333,-110450.76873535999
57,638124.6788995933,90130.81967743664,234455.17704099565,-54193.53768612238
58,638124.6788995933,82159.95238767772,251472.52701697865,-87152.62224162322
59,638124.6788995933,81654.90108002751,243661.03901711825,-80351.23685706322
60,638124.6788995933,89586.78856657525,249095.71999251982,-69922.1428593693
61,647831.0550726407,107943.91058439178,242022.35456970503,-26134.533400921457
62,647831.0550726407,83802.58226781407,238361.34517248807,-70756.18063685992
63,647831.0550726407,90103.21535877828,258134.07451324924,-77927.64379569268
64,647831.0550726407,65222.079557616475,261967.76330176942,-131523.60418653648
65,647831.0550726407,93617.59333725419,231501.56035405726,-44266.37367954888
66,647831.0550726407,83838.85062588316,245235.29423331935,-77557.59298155304
67,647831.0550726407,78376.43367948239,227814.31044321827,-71061.44308425348
68,647831.0550726407,-246.53824275137234,968662.2903410404,-969155.3668265431
69,647831.0550726407,63114.48656336138,247475.93077948218,-121246.9576527594
70,647831.0550726407,73174.45166127977,220606.47653506455,-74257.573212505
71,647831.0550726407,79014.89000404904,227429.8526800357,-69400.0726719376
72,647831.0550726407,82890.91479482582,223327.38685357402,-57545.5572639224
73,647831.0550726407,80210.18293065733,223031.82521362713,-62611.45935231248
74,647831.0550726407,73967.76704385084,239260.9590260911,-91325.4249383894
75,647831.0550726407,76463.39129125545,225831.74203419185,-72904.95945168094
76,647831.0550726407,68969.48211961196,243423.67435880427,-105484.71011958036
77,647831.0550726407,77441.87001036158,215219.15941524628,-60335.419394523095
78,647831.0550726407,82906.8169607572,228133.84817263926,-62320.21425112487
79,647831.0550726407,77093.60603214883,213989.13939128385,-59801.92732698617
80,647831.0550726407,71401.80649127412,239612.97386009598,-96809.36087754773
81,647831.0550726407,76878.8081120681,255256.14544862174,-101498.52922448554
82,647831.0550726407,86352.47980006711,215030.10004822596,-42325.14044809171
83,647831.0550726407,84337.42591406948,248476.00523860462,-79801.15341046565
84,647831.0550726407,96220.57384249766,211376.9511584646,-18935.803473469263
85,647831.0550726407,64210.888376309216,279460.4136604717,-151038.63690785322
86,647831.0550726407,67670.07886127368,238107.93256715187,-102767.77484460452
87,647831.0550726407,90993.16549547513,224506.4530725698,-42520.12208161953
88,647831.0550726407,81797.951571339,236973.64076711144,-73377.73762443346
