generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,252960.79407842166,-461837.3070456527,6642284.07535891,-7565958.689450215
2,270826.5810822516,-346432.89200848603,5528525.808188197,-6221391.59220517
3,270826.5810822516,28809.381399335558,551918.3042657808,-494299.5414671097
4,270826.5810822516,56204.98621629623,273230.8112102099,-160820.83877761743
5,270826.5810822516,50477.552548838285,213552.274265254,-112597.16916757743
6,270826.5810822516,64690.835188226265,189936.91860267872,-60555.24822622619
7,270826.5810822516,59002.55655176532,217742.27178486466,-99737.158681334
8,280715.81879419455,72977.40508364637,194099.13892458353,-48144.32875729079
9,378137.8790203264,33110.42153430552,315613.31678224093,-249392.4737136299
10,378137.8790203264,78300.03783853115,184822.6046219997,-28222.528944937396
11,378137.8790203264,47572.73213457138,193503.84358084662,-98358.37931170384
12,517163.4331655043,45046.660741924316,196764.8554904945,-106671.53400664587
13,517163.4331655043,64255.48453869147,190474.1361368241,-61963.16705944114
14,517163.4331655043,69410.71218335947,197316.16777250008,-58494.74340578113
15,517163.4331655043,59553.00323518384,211828.6590338083,-92722.65256344064
16,517163.4331655043,73580.64877246901,227994.2501152011,-80832.95257026308
17,517163.4331655043,72826.07496426147,206715.62475134118,-61063.47482281824
18,517163.4331655043,70324.99870089606,232408.11054464488,-91758.11314285277
19,517163.4331655043,92498.29772712714,217465.28167394735,-32468.686219693074
20,517163.4331655043,64180.22210504509,210715.72350687347,-82355.27929678328
21,517163.4331655043,90404.10434050398,229460.42194074258,-48652.21325973462
22,519521.36984453566,77762.27825432572,241535.34039824893,-86010.7838895975
23,519521.36984453566,83109.40836194783,228599.46362623607,-62380.646902340406
24,519521.36984453566,83753.0433707801,225493.7832731123,-57987.696531552094
25,519521.36984453566,75945.38718809646,256152.07795571908,-104261.30357952615
26,519521.36984453566,89061.14245726193,236619.17572723684,-58496.89081271297
27,519521.36984453566,69862.01680356327,234247.89367323753,-94523.86006611101
28,519521.36984453566,85779.62774418491,221947.83502534434,-50388.57953697453
29,550628.6492658773,90873.8676334595,243303.53637133935,-61555.801104420374
30,550628.6492658773,78346.4871430991,227968.3750733255,-71275.40078712729
31,550628.6492658773,57297.61685744245,215574.53108809103,-100979.29737320612
32,550628.6492658773,70788.47697118545,210080.87312494215,-68503.91918257126
33,550628.6492658773,70215.36476400615,214130.79659058677,-73700.06706257448
34,550628.6492658773,76692.86795877217,205958.64876511402,-52572.91284756969
35,550628.6492658773,77534.33277741737,222790.68602427072,-67722.020469436
36,550628.6492658773,10618.517674460678,649099.8105364011,-627862.7751874798
37,550628.6492658773,78235.78793976014,240160.46046009104,-83688.88458057077
38,550628.6492658773,84618.9056830347,225877.79060482903,-56639.97923875965
39,550628.6492658773,90025.66119289193,265055.2600139574,-85003.93762817352
40,550628.6492658773,98198.162106006,217369.26243989775,-20972.938227885767
41,550628.6492658773,98544.770418129,229298.62527325458,-32209.084436996593
42,550628.6492658773,63961.587381650774,456051.5546747723,-328128.3799114708
43,550628.6492658773,80586.83066005495,234055.90772260886,-72882.24640249895
44,550628.6492658773,85293.4861570037,232830.09659759275,-62243.12428358535
45,550628.6492658773,78116.20883977876,262906.25571110763,-106673.83803155011
46,550628.6492658773,80336.40557975847,240782.0272577915,-80109.21609827456
47,550628.6492658773,89813.71696366515,262320.84996846993,-82693.41604113963
48,550628.6492658773,82350.7150249184,226614.65821621218,-61913.22816637537
49,550628.6492658773,92540.00633155483,231884.75082901638,-46804.73816590673
50,550628.6492658773,84721.85625204752,256982.5922502308,-87538.87974613576
51,550628.6492658773,96625.7436063455,259222.02237892745,-65970.53516623646
52,550628.6492658773,98161.37001624344,226192.5170217149,-29869.776989228034
53,550628.6492658773,103003.3355705398,219689.53609917744,-13682.864958097838
54,550628.6492658773,95138.66681840127,226872.3609706348,-36595.027333832244
55,550628.6492658773,103272.99280638267,224495.65433407202,-17949.668721306676
56,550628.6492658773,97755.87454549121,227756.9864455752,-32245.237354592755
57,550628.6492658773,109710.07898158267,217872.17118426997,1547.9867788953707
58,550628.6492658773,112153.73743112205,236588.15233203216,-12280.677469788076
59,550628.6492658773,99026.88633253622,219046.03320931827,-20992.26054424583
60,550628.6492658773,113980.32690142088,227622.13521319418,338.5185896475741
61,550628.6492658773,116175.20446970871,232436.7724101892,-86.36347077180108
