generation,best_fitness,average_fitness,plus_1_std,minus_1_std
1,215186.9859967411,48466.20235103544,105792.88609466955,-8860.481392598667
2,227878.87696096807,45645.48234926974,171218.96581083766,-79928.0011122982
3,244068.24931949488,59986.996150809435,168727.950999326,-48753.95869770714
4,244068.24931949488,26965.14391308263,181046.9206356423,-127116.63280947704
5,244068.24931949488,46610.35821114034,185156.0291709659,-91935.31274868523
6,244068.24931949488,52237.8194118453,187030.35549431923,-82554.71667062864
7,244068.24931949488,68187.8139572005,184544.82307863212,-48169.19516423112
8,285551.80497872725,58216.74415099455,191080.81771882868,-74647.32941683958
9,409789.0638899144,43405.41392436365,200147.18820622936,-113336.36035750207
10,533405.5382081256,18960.254639815066,216090.89229935667,-178170.38301972652
11,533405.5382081256,57306.56459049205,184217.0057852726,-69603.8766042885
12,533405.5382081256,54466.89112820075,237140.80704642844,-128207.02479002695
13,561715.1657459572,37725.53011604245,254624.99755244076,-179173.93732035588
14,561715.1657459572,47576.52989491654,253344.13412540467,-158191.07433557158
15,561715.1657459572,67120.04322001465,204794.00343838375,-70553.91699835447
16,561715.1657459572,61473.523714208946,222061.24172700106,-99114.19429858317
17,561715.1657459572,77757.42649212106,229147.61534262367,-73632.76235838154
18,581135.5275659702,51143.012394068195,224971.91254201817,-122685.88775388176
19,581135.5275659702,64319.48025326274,260317.25181734384,-131678.29131081837
20,581135.5275659702,70882.26027560576,217333.134581653,-75568.61403044149
21,581135.5275659702,73029.340750592,215239.1351081465,-69180.45360696249
22,581135.5275659702,63992.97054085327,273268.60879968747,-145282.66771798095
23,581135.5275659702,69012.34323299148,245973.03104960197,-107948.344583619
24,581135.5275659702,64105.19216114202,279098.54556158435,-150888.1612393003
25,581135.5275659702,80498.2035796883,231285.409669634,-70289.00251025741
26,628955.2433459093,71660.35723536173,268827.78228136385,-125507.06781064038
27,628955.2433459093,88824.37815348712,214584.75656910922,-36936.000262134956
28,628955.2433459093,83040.41123680313,246016.04235651527,-79935.219882909
29,628955.2433459093,78702.22384163663,245299.0492078514,-87894.60152457813
30,628955.2433459093,80742.4228915664,250740.0519193025,-89255.20613616968
31,628955.2433459093,72202.1358714457,258832.82596362627,-114428.55422073486
32,628955.2433459093,84457.74161376274,234502.97598015724,-65587.49275263175
33,628955.2433459093,74865.02610395175,259070.56408661697,-109340.51187871349
34,628955.2433459093,106728.45444144116,240897.0892850439,-27440.180402161583
35,628955.2433459093,110423.91896830816,229206.15712023142,-8358.319183615095
36,628955.2433459093,95317.93895074406,244825.58361744997,-54189.705715961856
37,628955.2433459093,88750.36931965862,251959.16482271266,-74458.42618339542
38,628955.2433459093,91867.80556929966,264598.6520094162,-80863.04087081687
39,628955.2433459093,64221.976996043035,235790.41793249638,-107346.46394041032
40,628955.2433459093,92375.06388693389,211200.98579239578,-26450.858018528
41,628955.2433459093,88553.270865041,237051.40488956225,-59944.86315948024
42,628955.2433459093,69583.40300135386,229358.69050450268,-90191.88450179498
43,628955.2433459093,62491.92245471158,272363.954059211,-147380.10914978784
44,628955.2433459093,71896.4441624136,242211.94662013077,-98419.05829530358
45,628955.2433459093,91775.06644849536,246333.96136242256,-62783.828465431856
46,628955.2433459093,79776.05258131679,221319.2048018561,-61767.09963922252
47,628955.2433459093,98381.91974234788,210163.97737481561,-13400.137890119877
48,628955.2433459093,108776.12210641988,219596.4359923866,-2044.1917795468617
49,628955.2433459093,100812.83883101711,236200.33860763238,-34574.66094559815
50,628955.2433459093,62594.391041318624,425099.863995397,-299911.0819127597
51,628955.2433459093,81586.594901341,234175.39794658218,-71002.20814390016
52,628955.2433459093,110110.65519891569,234467.62702231584,-14246.316624484461
53,628955.2433459093,101818.95073988548,246637.89551812765,-42999.9940383567
54,628955.2433459093,69309.49955157138,281328.89941855706,-142709.90031541433
55,628955.2433459093,80337.98123526388,246179.5201100933,-85503.55763956551
56,628955.2433459093,89985.11990969647,231482.33741033333,-51512.09759094038
57,628955.2433459093,103346.07645320187,235408.57680707902,-28716.423900675276
58,628955.2433459093,114824.64012304174,244070.24412372883,-14420.963877645336
59,628955.2433459093,61442.97046950894,303609.79585975164,-180723.85492073378
60,628955.2433459093,79137.92274599728,255359.38506627176,-97083.5395742772
61,628955.2433459093,94458.30671613151,227215.0463618101,-38298.43292954707
62,628955.2433459093,84748.93700438555,234832.781485703,-65334.9074769319
63,628955.2433459093,110293.34407305095,223027.23741789605,-2440.549271794167
64,628955.2433459093,96769.21084332462,259369.32834425964,-65830.90665761042
65,628955.2433459093,101703.15850238565,224010.6709206752,-20604.353915903906
66,628955.2433459093,94967.03764399207,213885.78862528864,-23951.713337304493
67,628955.2433459093,88310.58665613811,227088.42092594138,-50467.24761366517
68,628955.2433459093,85718.15823616,222535.7066873615,-51099.390215041494
69,628955.2433459093,79247.18172808281,254754.09684964543,-96259.7333934798
70,628955.2433459093,91892.43149778436,265957.0859153833,-82172.22291981461
71,628955.2433459093,81000.03489274536,254614.0925086736,-92614.02272318288
72,628955.2433459093,91379.60485653728,242788.03819645784,-60028.82848338329
73,628955.2433459093,89552.5897141884,242205.83151907532,-63100.652090698524
74,628955.2433459093,80731.57682492542,252700.9292386477,-91237.77558879687
75,628955.2433459093,75590.06948168497,250204.87979560217,-99024.74083223223
76,628955.2433459093,74735.2132868482,223329.41259780136,-73858.98602410495
77,628955.2433459093,97323.75170112583,204819.58089069225,-10172.077488440598
78,628955.2433459093,97413.75653649395,236311.07463196586,-41483.56155897796
79,628955.2433459093,88587.17714070549,246769.37928384924,-69595.02500243825
80,628955.2433459093,107199.25284611521,223936.97565075458,-9538.469958524176
81,628955.2433459093,96830.76978344578,222823.74861234555,-29162.209045453972
82,628955.2433459093,91254.31225700655,253934.13162498822,-71425.50711097514
83,628955.2433459093,104657.50876096444,230232.509746895,-20917.492224966118
84,628955.2433459093,101719.03522316452,240389.5608613171,-36951.49041498806
85,628955.2433459093,97073.50794316773,245107.87427367092,-50960.858387335466
86,628955.2433459093,105801.501940647,232375.92101419688,-20772.917132902876
87,628955.2433459093,98689.78977831404,240131.73854719117,-42752.1589905631
88,628955.2433459093,102195.69348234458,218089.54279623326,-13698.155831544122
89,628955.2433459093,106685.67285615114,266304.5364051155,-52933.19069281324
90,628955.2433459093,101931.05552321787,273731.80133488367,-69869.6902884479
91,628955.2433459093,111472.2640654984,245585.87772014277,-22641.349589145975
92,628955.2433459093,102520.50115497298,245795.63054589514,-40754.62823594919
93,628955.2433459093,102677.28032169217,253783.74957391695,-48429.188930532604
94,628955.2433459093,107098.85435141048,248246.8075711383,-34049.098868317364
95,628955.2433459093,103177.50643538836,254721.82337173447,-48366.810500957756
96,628955.2433459093,96177.11760646787,241514.5239831162,-49160.28877018047
97,628955.2433459093,99016.35818002894,255392.77067958078,-57360.0543195229
98,628955.2433459093,99114.29696774285,236139.74347600853,-37911.149540522834
99,628955.2433459093,100908.90994373622,251451.7753105238,-49633.955423051375
100,628955.2433459093,85778.22350102512,232087.55375587026,-60531.10675382003
101,628955.2433459093,109040.94461668005,255307.0813095767,-37225.19207621661
102,628955.2433459093,109115.9516393545,231847.7815537107,-13615.878275001669
103,628955.2433459093,103847.49089517424,277683.2443890115,-69988.26259866302
104,628955.2433459093,104329.19780781087,269958.21933429077,-61299.82371866905
105,628955.2433459093,110712.14695745398,231238.77532563166,-9814.481410723718
106,628955.2433459093,112844.88772437278,245597.88722711487,-19908.111778369304
107,628955.2433459093,93611.33462117164,259321.703289752,-72099.03404740873
108,628955.2433459093,106028.45371964308,219825.5193317823,-7768.611892496163
109,628955.2433459093,97959.44694330575,263232.2695437621,-67313.37565715061
110,628955.2433459093,100690.91485824654,229667.68519603426,-28285.855479541176
111,628955.2433459093,95562.4446067729,207675.37980959454,-16550.490596048738
112,628955.2433459093,92200.31974899708,234224.0520090882,-49823.41251109404
113,628955.2433459093,94682.04438432274,217926.4617892967,-28562.373020651226
114,628955.2433459093,95126.83301617183,229835.92978810094,-39582.26375575729
115,628955.2433459093,91076.78487020009,258382.74370600612,-76229.17396560594
116,628955.2433459093,97220.45696591577,253321.42022802078,-58880.50629618924
117,628955.2433459093,96969.84015447211,241978.38213178964,-48038.701822845396
118,628955.2433459093,94618.51267677035,264945.498206204,-75708.4728526633
119,628955.2433459093,77597.03551170793,228496.00481856964,-73301.93379515376
120,628955.2433459093,77314.65746747151,239326.70774943783,-84697.39281449483
121,628955.2433459093,79169.18145952605,240175.87398967927,-81837.51107062718
122,628955.2433459093,89913.47703996129,228278.30266744606,-48451.34858752348
123,628955.2433459093,68897.48253881682,248678.66987399652,-110883.70479636289
124,628955.2433459093,80470.07537898837,217491.6543671136,-56551.50360913685
125,628955.2433459093,85553.12150980398,234233.74853903416,-63127.505519426195
126,628955.2433459093,77773.5057102145,269711.7964576568,-114164.78503722779
127,628955.2433459093,97382.0662032502,239437.87296267372,-44673.74055617332
128,628955.2433459093,96760.45004856384,240533.36478687532,-47012.46468974762
129,628955.2433459093,80710.43508455978,244299.39527579173,-82878.52510667217
130,628955.2433459093,89637.39325099619,231902.32151756718,-52627.5350155748
131,628955.2433459093,85877.23813498291,256001.43775090855,-84246.96148094273
132,628955.2433459093,99154.22169644377,238745.85532384136,-40437.41193095382
133,628955.2433459093,79942.30053342642,283052.8163490958,-123168.21528224293
134,628955.2433459093,107225.0832596663,248524.8729302815,-34074.7064109489
135,628955.2433459093,110700.00745110877,234879.59062539696,-13479.575723179412
136,628955.2433459093,101799.47167353323,250443.737753321,-46844.79440625454
